Fairness,Roll_1,Roll_2,Roll_3,Roll_4,Roll_5,Roll_6,Roll_7,Roll_8
6,1,3,4,4,1,3,2,3
5,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
5,1,3,4,4,1,3,2,3
6,1,3,4,4,1,3,2,3
6,1,3,4,4,1,3,2,3
5,1,3,4,4,1,3,2,3
6,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
6,1,3,4,4,1,3,2,3
5,1,3,4,4,1,3,2,3
6,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
5,1,3,4,4,1,3,2,3
2,1,3,4,4,1,3,2,3
4,1,3,4,4,1,3,2,3
6,1,3,4,4,1,3,2,3
6,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
5,1,3,4,4,1,3,2,3
6,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
6,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
5,1,3,4,4,1,3,2,3
5,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
6,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
5,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
6,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
5,1,3,4,4,1,3,2,3
5,1,3,4,4,1,3,2,3
6,1,3,4,4,1,3,2,3
6,1,3,4,4,1,3,2,3
6,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
6,1,3,4,4,1,3,2,3
7,1,3,4,4,1,3,2,3
2,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
3,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
3,4,4,4,4,4,4,4,2
5,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
3,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
1,4,4,4,4,4,4,4,2
1,4,4,4,4,4,4,4,2
3,4,4,4,4,4,4,4,2
7,4,4,4,4,4,4,4,2
3,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
3,4,4,4,4,4,4,4,2
4,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
5,4,4,4,4,4,4,4,2
4,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
1,4,4,4,4,4,4,4,2
3,4,4,4,4,4,4,4,2
3,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
6,4,4,4,4,4,4,4,2
1,4,4,4,4,4,4,4,2
7,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
5,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
3,4,4,4,4,4,4,4,2
3,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
3,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,2
2,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
3,4,4,4,4,4,4,4,4
5,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
3,4,4,4,4,4,4,4,4
7,4,4,4,4,4,4,4,4
3,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
5,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
7,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
3,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4
2,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
2,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
5,3,3,3,3,2,2,2,3
2,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
5,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
4,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
2,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
4,3,3,3,3,2,2,2,3
7,3,3,3,3,2,2,2,3
4,3,3,3,3,2,2,2,3
4,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
5,3,3,3,3,2,2,2,3
5,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
5,3,3,3,3,2,2,2,3
5,3,3,3,3,2,2,2,3
2,3,3,3,3,2,2,2,3
5,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
4,3,3,3,3,2,2,2,3
2,3,3,3,3,2,2,2,3
6,3,3,3,3,2,2,2,3
7,3,3,3,3,2,2,2,3
7,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
6,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
4,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
7,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
3,3,3,3,3,2,2,2,3
